starttime	seconds	ctime	dtime	ttime	wait
Sun Jun 15 18:11:22 2014	1402848682	0	9	9	9
Sun Jun 15 18:11:40 2014	1402848700	0	10	10	9
Sun Jun 15 18:11:30 2014	1402848690	0	10	10	10
Sun Jun 15 18:11:18 2014	1402848678	0	10	10	9
Sun Jun 15 18:11:30 2014	1402848690	0	10	10	10
Sun Jun 15 18:11:18 2014	1402848678	0	10	10	10
Sun Jun 15 18:11:29 2014	1402848689	0	10	11	10
Sun Jun 15 18:11:28 2014	1402848688	0	11	11	11
Sun Jun 15 18:11:41 2014	1402848701	0	11	11	11
Sun Jun 15 18:11:22 2014	1402848682	0	12	12	12
Sun Jun 15 18:11:39 2014	1402848699	0	12	12	12
Sun Jun 15 18:11:18 2014	1402848678	0	13	13	13
Sun Jun 15 18:11:28 2014	1402848688	0	13	13	13
Sun Jun 15 18:11:18 2014	1402848678	0	14	14	14
Sun Jun 15 18:11:29 2014	1402848689	0	15	15	15
Sun Jun 15 18:11:18 2014	1402848678	0	15	15	15
Sun Jun 15 18:11:21 2014	1402848681	0	15	15	15
Sun Jun 15 18:11:29 2014	1402848689	0	15	15	15
Sun Jun 15 18:11:21 2014	1402848681	0	15	15	14
Sun Jun 15 18:11:18 2014	1402848678	0	16	16	16
Sun Jun 15 18:11:37 2014	1402848697	0	16	16	16
Sun Jun 15 18:11:40 2014	1402848700	0	17	17	17
Sun Jun 15 18:11:29 2014	1402848689	0	17	17	17
Sun Jun 15 18:11:26 2014	1402848686	0	18	18	17
Sun Jun 15 18:11:18 2014	1402848678	0	18	18	17
Sun Jun 15 18:11:22 2014	1402848682	0	18	18	17
Sun Jun 15 18:11:18 2014	1402848678	0	18	18	18
Sun Jun 15 18:11:22 2014	1402848682	0	18	18	18
Sun Jun 15 18:11:29 2014	1402848689	0	18	18	18
Sun Jun 15 18:11:22 2014	1402848682	0	18	18	18
Sun Jun 15 18:11:36 2014	1402848696	0	18	18	18
Sun Jun 15 18:11:30 2014	1402848690	0	19	19	18
Sun Jun 15 18:11:22 2014	1402848682	0	19	19	19
Sun Jun 15 18:11:18 2014	1402848678	0	19	19	19
Sun Jun 15 18:11:40 2014	1402848700	0	19	19	19
Sun Jun 15 18:11:18 2014	1402848678	0	19	19	19
Sun Jun 15 18:11:39 2014	1402848699	0	19	19	19
Sun Jun 15 18:11:39 2014	1402848699	0	20	20	20
Sun Jun 15 18:11:38 2014	1402848698	0	20	20	20
Sun Jun 15 18:11:38 2014	1402848698	0	20	20	20
Sun Jun 15 18:11:38 2014	1402848698	0	20	20	20
Sun Jun 15 18:11:21 2014	1402848681	0	20	20	20
Sun Jun 15 18:11:18 2014	1402848678	0	20	20	20
Sun Jun 15 18:11:26 2014	1402848686	0	20	20	20
