starttime	seconds	ctime	dtime	ttime	wait
Tue Jun 17 10:40:23 2014	1402994423	0	4	4	4
Tue Jun 17 10:40:29 2014	1402994429	0	5	5	5
Tue Jun 17 10:40:29 2014	1402994429	0	5	5	5
Tue Jun 17 10:40:12 2014	1402994412	0	5	5	5
Tue Jun 17 10:40:15 2014	1402994415	0	5	5	5
Tue Jun 17 10:40:15 2014	1402994415	0	5	5	5
Tue Jun 17 10:40:15 2014	1402994415	0	5	5	5
Tue Jun 17 10:40:13 2014	1402994413	0	5	5	5
Tue Jun 17 10:40:15 2014	1402994415	0	5	6	5
Tue Jun 17 10:40:11 2014	1402994411	0	6	6	5
Tue Jun 17 10:40:17 2014	1402994417	0	6	6	6
Tue Jun 17 10:40:13 2014	1402994413	0	6	6	6
Tue Jun 17 10:40:21 2014	1402994421	0	6	6	6
Tue Jun 17 10:40:36 2014	1402994436	0	6	6	6
Tue Jun 17 10:40:19 2014	1402994419	0	6	6	6
Tue Jun 17 10:40:16 2014	1402994416	0	6	6	6
Tue Jun 17 10:40:12 2014	1402994412	0	6	6	6
Tue Jun 17 10:40:38 2014	1402994438	0	6	6	6
Tue Jun 17 10:40:38 2014	1402994438	0	6	6	6
Tue Jun 17 10:40:17 2014	1402994417	0	6	6	6
Tue Jun 17 10:40:19 2014	1402994419	0	6	6	6
Tue Jun 17 10:40:15 2014	1402994415	0	6	6	6
Tue Jun 17 10:40:17 2014	1402994417	0	6	6	6
Tue Jun 17 10:40:23 2014	1402994423	0	6	6	6
Tue Jun 17 10:40:38 2014	1402994438	0	6	6	6
Tue Jun 17 10:40:13 2014	1402994413	0	6	6	6
Tue Jun 17 10:40:15 2014	1402994415	0	6	6	6
Tue Jun 17 10:40:15 2014	1402994415	0	6	6	6
Tue Jun 17 10:40:23 2014	1402994423	0	6	6	6
Tue Jun 17 10:40:17 2014	1402994417	0	6	6	6
Tue Jun 17 10:40:36 2014	1402994436	0	6	6	6
Tue Jun 17 10:40:21 2014	1402994421	0	6	6	6
Tue Jun 17 10:40:29 2014	1402994429	0	6	6	6
Tue Jun 17 10:40:19 2014	1402994419	0	6	6	6
Tue Jun 17 10:40:21 2014	1402994421	0	6	6	6
Tue Jun 17 10:40:10 2014	1402994410	0	6	6	6
Tue Jun 17 10:40:23 2014	1402994423	0	6	6	6
Tue Jun 17 10:40:23 2014	1402994423	0	6	6	6
Tue Jun 17 10:40:15 2014	1402994415	0	6	6	6
Tue Jun 17 10:40:13 2014	1402994413	0	6	6	6
Tue Jun 17 10:40:38 2014	1402994438	0	6	6	6
Tue Jun 17 10:40:23 2014	1402994423	0	6	6	6
Tue Jun 17 10:40:19 2014	1402994419	0	6	6	6
Tue Jun 17 10:40:13 2014	1402994413	0	6	6	6
Tue Jun 17 10:40:29 2014	1402994429	0	6	6	6
Tue Jun 17 10:40:13 2014	1402994413	0	6	6	6
Tue Jun 17 10:40:15 2014	1402994415	0	6	6	6
Tue Jun 17 10:40:38 2014	1402994438	0	6	6	6
Tue Jun 17 10:40:23 2014	1402994423	0	6	6	6
Tue Jun 17 10:40:23 2014	1402994423	0	6	6	6
Tue Jun 17 10:40:21 2014	1402994421	0	6	6	6
Tue Jun 17 10:40:17 2014	1402994417	0	6	7	6
Tue Jun 17 10:40:19 2014	1402994419	0	6	7	6
Tue Jun 17 10:40:38 2014	1402994438	0	6	7	6
Tue Jun 17 10:40:17 2014	1402994417	0	7	7	6
Tue Jun 17 10:40:15 2014	1402994415	0	6	7	6
Tue Jun 17 10:40:19 2014	1402994419	0	7	7	6
Tue Jun 17 10:40:15 2014	1402994415	0	7	7	6
Tue Jun 17 10:40:15 2014	1402994415	0	7	7	6
Tue Jun 17 10:40:17 2014	1402994417	0	7	7	6
Tue Jun 17 10:40:23 2014	1402994423	0	7	7	6
Tue Jun 17 10:40:11 2014	1402994411	0	7	7	6
Tue Jun 17 10:40:15 2014	1402994415	0	7	7	7
Tue Jun 17 10:40:11 2014	1402994411	0	7	7	7
Tue Jun 17 10:40:29 2014	1402994429	0	7	7	7
Tue Jun 17 10:40:12 2014	1402994412	0	7	7	7
Tue Jun 17 10:40:16 2014	1402994416	0	7	7	7
Tue Jun 17 10:40:38 2014	1402994438	0	7	7	7
Tue Jun 17 10:40:36 2014	1402994436	0	7	7	7
Tue Jun 17 10:40:19 2014	1402994419	0	7	7	7
Tue Jun 17 10:40:19 2014	1402994419	0	7	7	7
Tue Jun 17 10:40:12 2014	1402994412	0	7	7	7
Tue Jun 17 10:40:16 2014	1402994416	0	7	7	7
Tue Jun 17 10:40:23 2014	1402994423	0	7	7	7
Tue Jun 17 10:40:29 2014	1402994429	0	7	7	7
Tue Jun 17 10:40:29 2014	1402994429	0	7	7	7
Tue Jun 17 10:40:19 2014	1402994419	0	7	7	7
Tue Jun 17 10:40:15 2014	1402994415	0	7	7	7
Tue Jun 17 10:40:38 2014	1402994438	0	7	7	7
Tue Jun 17 10:40:15 2014	1402994415	0	7	7	7
Tue Jun 17 10:40:38 2014	1402994438	0	7	7	7
Tue Jun 17 10:40:29 2014	1402994429	0	7	7	7
Tue Jun 17 10:40:15 2014	1402994415	0	7	7	7
Tue Jun 17 10:40:11 2014	1402994411	0	7	7	7
Tue Jun 17 10:40:38 2014	1402994438	0	7	7	7
Tue Jun 17 10:40:15 2014	1402994415	0	7	7	7
Tue Jun 17 10:40:19 2014	1402994419	0	7	7	7
Tue Jun 17 10:40:29 2014	1402994429	0	7	7	7
Tue Jun 17 10:40:15 2014	1402994415	0	7	7	7
Tue Jun 17 10:40:17 2014	1402994417	0	7	7	7
Tue Jun 17 10:40:29 2014	1402994429	0	7	7	7
Tue Jun 17 10:40:13 2014	1402994413	0	7	7	7
Tue Jun 17 10:40:15 2014	1402994415	0	7	7	7
Tue Jun 17 10:40:23 2014	1402994423	0	7	7	7
Tue Jun 17 10:40:15 2014	1402994415	0	7	7	7
Tue Jun 17 10:40:38 2014	1402994438	0	7	7	7
Tue Jun 17 10:40:12 2014	1402994412	0	7	7	7
Tue Jun 17 10:40:17 2014	1402994417	0	7	7	7
Tue Jun 17 10:40:23 2014	1402994423	0	7	7	7
Tue Jun 17 10:40:16 2014	1402994416	0	7	7	7
Tue Jun 17 10:40:23 2014	1402994423	0	7	7	7
Tue Jun 17 10:40:19 2014	1402994419	0	7	7	7
Tue Jun 17 10:40:10 2014	1402994410	0	7	7	7
Tue Jun 17 10:40:17 2014	1402994417	0	7	7	7
Tue Jun 17 10:40:17 2014	1402994417	0	7	7	7
Tue Jun 17 10:40:21 2014	1402994421	0	7	7	7
Tue Jun 17 10:40:23 2014	1402994423	0	7	7	7
Tue Jun 17 10:40:13 2014	1402994413	0	7	7	7
Tue Jun 17 10:40:08 2014	1402994408	0	7	7	7
Tue Jun 17 10:40:13 2014	1402994413	0	7	7	7
Tue Jun 17 10:40:13 2014	1402994413	0	7	7	6
Tue Jun 17 10:40:15 2014	1402994415	0	7	7	7
Tue Jun 17 10:40:15 2014	1402994415	0	7	7	7
Tue Jun 17 10:40:12 2014	1402994412	0	7	7	7
Tue Jun 17 10:40:15 2014	1402994415	0	7	7	7
Tue Jun 17 10:40:23 2014	1402994423	0	7	7	7
Tue Jun 17 10:40:16 2014	1402994416	0	7	7	7
Tue Jun 17 10:40:19 2014	1402994419	0	7	7	7
Tue Jun 17 10:40:11 2014	1402994411	0	7	7	7
Tue Jun 17 10:40:16 2014	1402994416	0	7	7	7
Tue Jun 17 10:40:17 2014	1402994417	0	7	7	7
Tue Jun 17 10:40:36 2014	1402994436	0	7	7	7
Tue Jun 17 10:40:15 2014	1402994415	0	7	7	7
Tue Jun 17 10:40:12 2014	1402994412	0	7	7	7
Tue Jun 17 10:40:11 2014	1402994411	0	7	7	7
Tue Jun 17 10:40:23 2014	1402994423	0	7	7	7
Tue Jun 17 10:40:13 2014	1402994413	0	7	7	7
Tue Jun 17 10:40:21 2014	1402994421	0	7	7	7
Tue Jun 17 10:40:23 2014	1402994423	0	7	7	7
Tue Jun 17 10:40:10 2014	1402994410	0	7	7	7
Tue Jun 17 10:40:38 2014	1402994438	0	7	7	7
Tue Jun 17 10:40:15 2014	1402994415	0	7	7	7
Tue Jun 17 10:40:29 2014	1402994429	0	7	7	7
Tue Jun 17 10:40:13 2014	1402994413	0	7	7	7
Tue Jun 17 10:40:12 2014	1402994412	0	7	7	7
Tue Jun 17 10:40:12 2014	1402994412	0	7	7	7
Tue Jun 17 10:40:13 2014	1402994413	0	7	7	7
Tue Jun 17 10:40:12 2014	1402994412	0	7	7	7
Tue Jun 17 10:40:10 2014	1402994410	0	7	7	7
Tue Jun 17 10:40:10 2014	1402994410	0	7	7	7
Tue Jun 17 10:40:29 2014	1402994429	0	7	7	7
Tue Jun 17 10:40:10 2014	1402994410	0	7	7	7
Tue Jun 17 10:40:10 2014	1402994410	0	7	7	7
Tue Jun 17 10:40:15 2014	1402994415	0	7	7	7
Tue Jun 17 10:40:38 2014	1402994438	0	7	7	7
Tue Jun 17 10:40:15 2014	1402994415	0	7	7	7
Tue Jun 17 10:40:21 2014	1402994421	0	7	7	7
Tue Jun 17 10:40:17 2014	1402994417	0	7	7	7
Tue Jun 17 10:40:29 2014	1402994429	0	7	7	7
Tue Jun 17 10:40:10 2014	1402994410	0	7	7	7
Tue Jun 17 10:40:23 2014	1402994423	0	7	7	7
Tue Jun 17 10:40:17 2014	1402994417	0	7	7	7
Tue Jun 17 10:40:29 2014	1402994429	0	7	7	7
Tue Jun 17 10:40:16 2014	1402994416	0	7	7	7
Tue Jun 17 10:40:38 2014	1402994438	0	7	7	7
Tue Jun 17 10:40:21 2014	1402994421	0	7	7	7
Tue Jun 17 10:40:29 2014	1402994429	0	7	7	7
Tue Jun 17 10:40:17 2014	1402994417	0	7	7	7
Tue Jun 17 10:40:15 2014	1402994415	0	7	7	7
Tue Jun 17 10:40:19 2014	1402994419	0	7	7	7
Tue Jun 17 10:40:29 2014	1402994429	0	7	7	7
Tue Jun 17 10:40:36 2014	1402994436	0	7	7	7
Tue Jun 17 10:40:17 2014	1402994417	0	7	7	7
Tue Jun 17 10:40:12 2014	1402994412	0	7	7	7
Tue Jun 17 10:40:36 2014	1402994436	0	7	7	7
Tue Jun 17 10:40:29 2014	1402994429	0	7	7	7
Tue Jun 17 10:40:19 2014	1402994419	0	7	7	7
Tue Jun 17 10:40:36 2014	1402994436	0	7	7	7
Tue Jun 17 10:40:23 2014	1402994423	0	7	7	7
Tue Jun 17 10:40:19 2014	1402994419	0	7	7	7
Tue Jun 17 10:40:17 2014	1402994417	0	7	7	7
Tue Jun 17 10:40:19 2014	1402994419	0	7	7	7
Tue Jun 17 10:40:38 2014	1402994438	0	7	7	7
Tue Jun 17 10:40:29 2014	1402994429	0	7	8	7
Tue Jun 17 10:40:23 2014	1402994423	0	7	8	7
Tue Jun 17 10:40:16 2014	1402994416	0	8	8	7
Tue Jun 17 10:40:15 2014	1402994415	0	8	8	7
Tue Jun 17 10:40:23 2014	1402994423	0	8	8	7
Tue Jun 17 10:40:12 2014	1402994412	0	8	8	7
Tue Jun 17 10:40:16 2014	1402994416	0	8	8	7
Tue Jun 17 10:40:23 2014	1402994423	0	8	8	7
Tue Jun 17 10:40:19 2014	1402994419	0	8	8	7
Tue Jun 17 10:40:10 2014	1402994410	0	8	8	8
Tue Jun 17 10:40:13 2014	1402994413	0	8	8	7
Tue Jun 17 10:40:36 2014	1402994436	0	8	8	8
Tue Jun 17 10:40:29 2014	1402994429	0	8	8	8
Tue Jun 17 10:40:36 2014	1402994436	0	8	8	8
Tue Jun 17 10:40:11 2014	1402994411	0	8	8	8
Tue Jun 17 10:40:23 2014	1402994423	0	8	8	8
Tue Jun 17 10:40:16 2014	1402994416	0	8	8	8
Tue Jun 17 10:40:11 2014	1402994411	0	8	8	8
Tue Jun 17 10:40:13 2014	1402994413	0	8	8	8
Tue Jun 17 10:40:13 2014	1402994413	0	8	8	8
Tue Jun 17 10:40:19 2014	1402994419	0	8	8	8
Tue Jun 17 10:40:19 2014	1402994419	0	8	8	8
Tue Jun 17 10:40:12 2014	1402994412	0	8	8	8
Tue Jun 17 10:40:38 2014	1402994438	0	8	8	8
Tue Jun 17 10:40:19 2014	1402994419	0	8	8	8
Tue Jun 17 10:40:13 2014	1402994413	0	8	8	8
Tue Jun 17 10:40:19 2014	1402994419	0	8	8	7
Tue Jun 17 10:40:15 2014	1402994415	0	8	8	8
Tue Jun 17 10:40:17 2014	1402994417	0	8	8	8
Tue Jun 17 10:40:11 2014	1402994411	0	8	8	8
Tue Jun 17 10:40:21 2014	1402994421	0	8	8	8
Tue Jun 17 10:40:38 2014	1402994438	0	8	8	8
Tue Jun 17 10:40:11 2014	1402994411	0	8	8	8
Tue Jun 17 10:40:29 2014	1402994429	0	8	8	8
Tue Jun 17 10:40:29 2014	1402994429	0	8	8	8
Tue Jun 17 10:40:11 2014	1402994411	0	8	8	8
Tue Jun 17 10:40:15 2014	1402994415	0	8	8	8
Tue Jun 17 10:40:38 2014	1402994438	0	8	8	8
Tue Jun 17 10:40:16 2014	1402994416	0	8	8	8
Tue Jun 17 10:40:15 2014	1402994415	0	8	8	8
Tue Jun 17 10:40:15 2014	1402994415	0	8	8	8
Tue Jun 17 10:40:15 2014	1402994415	0	8	8	8
Tue Jun 17 10:40:11 2014	1402994411	0	8	8	8
Tue Jun 17 10:40:23 2014	1402994423	0	8	8	8
Tue Jun 17 10:40:19 2014	1402994419	0	8	8	8
Tue Jun 17 10:40:15 2014	1402994415	0	8	8	8
Tue Jun 17 10:40:13 2014	1402994413	0	8	8	8
Tue Jun 17 10:40:38 2014	1402994438	0	8	8	8
Tue Jun 17 10:40:15 2014	1402994415	0	8	8	8
Tue Jun 17 10:40:15 2014	1402994415	0	8	8	8
Tue Jun 17 10:40:12 2014	1402994412	0	8	8	8
Tue Jun 17 10:40:15 2014	1402994415	0	8	8	8
Tue Jun 17 10:40:15 2014	1402994415	0	8	8	8
Tue Jun 17 10:40:12 2014	1402994412	0	8	8	8
Tue Jun 17 10:40:12 2014	1402994412	0	8	8	8
Tue Jun 17 10:40:22 2014	1402994422	0	8	8	8
Tue Jun 17 10:40:11 2014	1402994411	0	8	8	8
Tue Jun 17 10:40:38 2014	1402994438	0	8	8	8
Tue Jun 17 10:40:21 2014	1402994421	0	8	8	8
Tue Jun 17 10:40:21 2014	1402994421	0	8	8	8
Tue Jun 17 10:40:38 2014	1402994438	0	8	8	8
Tue Jun 17 10:40:15 2014	1402994415	0	8	8	8
Tue Jun 17 10:40:13 2014	1402994413	0	8	8	8
Tue Jun 17 10:40:12 2014	1402994412	0	8	8	8
Tue Jun 17 10:40:15 2014	1402994415	0	8	8	8
Tue Jun 17 10:40:11 2014	1402994411	0	8	8	8
Tue Jun 17 10:40:29 2014	1402994429	0	8	8	8
Tue Jun 17 10:40:36 2014	1402994436	0	8	8	8
Tue Jun 17 10:40:36 2014	1402994436	0	8	8	8
Tue Jun 17 10:40:38 2014	1402994438	0	8	8	8
Tue Jun 17 10:40:13 2014	1402994413	0	8	8	8
Tue Jun 17 10:40:12 2014	1402994412	0	8	8	8
Tue Jun 17 10:40:15 2014	1402994415	0	8	8	8
Tue Jun 17 10:40:15 2014	1402994415	0	8	8	8
Tue Jun 17 10:40:12 2014	1402994412	0	8	8	8
Tue Jun 17 10:40:15 2014	1402994415	0	8	8	8
Tue Jun 17 10:40:15 2014	1402994415	0	8	8	8
Tue Jun 17 10:40:38 2014	1402994438	0	8	8	8
Tue Jun 17 10:40:36 2014	1402994436	0	8	8	8
Tue Jun 17 10:40:19 2014	1402994419	0	8	8	8
Tue Jun 17 10:40:19 2014	1402994419	0	8	8	8
Tue Jun 17 10:40:16 2014	1402994416	0	8	8	8
Tue Jun 17 10:40:21 2014	1402994421	0	8	8	8
