starttime	seconds	ctime	dtime	ttime	wait
Mon Jun 16 19:19:11 2014	1402939151	0	14	14	14
Mon Jun 16 19:19:12 2014	1402939152	0	17	17	17
Mon Jun 16 19:19:18 2014	1402939158	0	18	18	18
Mon Jun 16 19:18:59 2014	1402939139	0	19	19	19
Mon Jun 16 19:19:25 2014	1402939165	0	19	19	19
Mon Jun 16 19:19:20 2014	1402939160	0	19	19	19
Mon Jun 16 19:18:59 2014	1402939139	0	20	20	19
Mon Jun 16 19:19:02 2014	1402939142	0	20	20	20
Mon Jun 16 19:19:18 2014	1402939158	0	20	20	20
Mon Jun 16 19:18:59 2014	1402939139	0	25	25	25
Mon Jun 16 19:19:12 2014	1402939152	0	25	25	25
Mon Jun 16 19:19:12 2014	1402939152	0	25	26	25
Mon Jun 16 19:19:13 2014	1402939153	0	26	26	26
Mon Jun 16 19:19:01 2014	1402939141	0	27	27	27
Mon Jun 16 19:18:59 2014	1402939139	0	27	27	27
Mon Jun 16 19:19:21 2014	1402939161	0	27	27	26
Mon Jun 16 19:19:11 2014	1402939151	0	28	28	27
Mon Jun 16 19:18:59 2014	1402939139	0	28	28	28
Mon Jun 16 19:19:13 2014	1402939153	0	28	28	28
Mon Jun 16 19:19:23 2014	1402939163	0	28	28	28
Mon Jun 16 19:18:57 2014	1402939137	0	29	29	29
Mon Jun 16 19:19:02 2014	1402939142	0	29	29	29
Mon Jun 16 19:18:52 2014	1402939132	3	26	29	26
Mon Jun 16 19:19:01 2014	1402939141	0	32	32	32
Mon Jun 16 19:18:59 2014	1402939139	0	32	32	32
Mon Jun 16 19:19:11 2014	1402939151	0	33	33	33
Mon Jun 16 19:19:12 2014	1402939152	0	35	35	35
Mon Jun 16 19:19:20 2014	1402939160	0	36	36	36
Mon Jun 16 19:19:11 2014	1402939151	0	36	36	36
Mon Jun 16 19:19:32 2014	1402939172	0	37	37	37
Mon Jun 16 19:19:11 2014	1402939151	0	38	38	38
Mon Jun 16 19:19:16 2014	1402939156	0	39	39	39
Mon Jun 16 19:18:59 2014	1402939139	0	39	39	39
Mon Jun 16 19:18:57 2014	1402939137	0	39	39	39
Mon Jun 16 19:19:19 2014	1402939159	0	40	40	40
Mon Jun 16 19:19:21 2014	1402939161	0	41	41	41
Mon Jun 16 19:19:20 2014	1402939160	0	41	41	41
Mon Jun 16 19:19:19 2014	1402939159	0	42	42	42
Mon Jun 16 19:19:01 2014	1402939141	0	42	42	42
Mon Jun 16 19:18:52 2014	1402939132	8	35	43	35
Mon Jun 16 19:19:15 2014	1402939155	0	44	44	44
Mon Jun 16 19:19:02 2014	1402939142	0	45	45	45
Mon Jun 16 19:19:13 2014	1402939153	0	46	46	46
Mon Jun 16 19:19:12 2014	1402939152	0	47	47	47
Mon Jun 16 19:19:23 2014	1402939163	0	47	47	46
Mon Jun 16 19:19:33 2014	1402939173	0	48	48	47
Mon Jun 16 19:18:57 2014	1402939137	0	48	48	48
Mon Jun 16 19:19:19 2014	1402939159	0	49	49	49
Mon Jun 16 19:19:18 2014	1402939158	0	49	49	49
Mon Jun 16 19:19:13 2014	1402939153	0	50	50	49
Mon Jun 16 19:19:16 2014	1402939156	0	50	50	50
Mon Jun 16 19:19:13 2014	1402939153	0	50	50	50
Mon Jun 16 19:19:13 2014	1402939153	0	50	50	50
Mon Jun 16 19:19:24 2014	1402939164	0	50	50	50
Mon Jun 16 19:18:59 2014	1402939139	0	51	51	51
Mon Jun 16 19:19:11 2014	1402939151	0	52	52	52
Mon Jun 16 19:19:16 2014	1402939156	0	53	53	53
Mon Jun 16 19:19:04 2014	1402939144	0	54	54	54
Mon Jun 16 19:19:16 2014	1402939156	0	55	55	55
Mon Jun 16 19:19:13 2014	1402939153	0	55	55	55
Mon Jun 16 19:19:32 2014	1402939172	0	55	55	55
Mon Jun 16 19:19:12 2014	1402939152	0	56	56	56
Mon Jun 16 19:19:12 2014	1402939152	0	56	56	55
Mon Jun 16 19:19:16 2014	1402939156	0	56	56	56
Mon Jun 16 19:19:33 2014	1402939173	0	57	57	57
Mon Jun 16 19:19:01 2014	1402939141	0	57	57	57
Mon Jun 16 19:19:22 2014	1402939162	0	57	57	57
Mon Jun 16 19:18:59 2014	1402939139	0	57	57	57
Mon Jun 16 19:19:13 2014	1402939153	0	58	58	58
Mon Jun 16 19:19:13 2014	1402939153	0	58	58	58
Mon Jun 16 19:19:13 2014	1402939153	0	58	58	58
Mon Jun 16 19:19:22 2014	1402939162	0	59	59	59
Mon Jun 16 19:19:01 2014	1402939141	0	59	59	59
Mon Jun 16 19:19:30 2014	1402939170	0	60	60	59
Mon Jun 16 19:19:26 2014	1402939166	0	60	60	60
Mon Jun 16 19:19:18 2014	1402939158	0	60	60	60
Mon Jun 16 19:19:13 2014	1402939153	0	61	61	61
Mon Jun 16 19:19:22 2014	1402939162	0	61	61	58
Mon Jun 16 19:19:13 2014	1402939153	0	62	62	62
Mon Jun 16 19:19:26 2014	1402939166	0	63	63	62
Mon Jun 16 19:18:52 2014	1402939132	8	55	63	55
Mon Jun 16 19:19:26 2014	1402939166	0	65	65	65
Mon Jun 16 19:19:02 2014	1402939142	0	65	65	65
Mon Jun 16 19:18:57 2014	1402939137	0	66	66	65
Mon Jun 16 19:19:26 2014	1402939166	0	67	67	67
Mon Jun 16 19:18:52 2014	1402939132	3	63	67	59
Mon Jun 16 19:18:59 2014	1402939139	0	70	70	70
Mon Jun 16 19:19:21 2014	1402939161	0	70	70	70
Mon Jun 16 19:19:13 2014	1402939153	0	71	71	71
Mon Jun 16 19:18:52 2014	1402939132	3	69	72	69
Mon Jun 16 19:18:59 2014	1402939139	0	73	73	73
Mon Jun 16 19:19:13 2014	1402939153	0	73	73	73
Mon Jun 16 19:19:16 2014	1402939156	0	74	74	74
Mon Jun 16 19:19:11 2014	1402939151	0	74	74	74
Mon Jun 16 19:19:26 2014	1402939166	0	74	74	74
Mon Jun 16 19:19:26 2014	1402939166	0	75	75	75
Mon Jun 16 19:19:13 2014	1402939153	0	76	76	76
Mon Jun 16 19:19:13 2014	1402939153	0	76	76	76
Mon Jun 16 19:19:01 2014	1402939141	0	76	76	76
Mon Jun 16 19:19:12 2014	1402939152	0	76	76	76
Mon Jun 16 19:19:02 2014	1402939142	0	77	77	77
Mon Jun 16 19:19:13 2014	1402939153	0	77	77	77
