starttime	seconds	ctime	dtime	ttime	wait
Tue Jun 17 10:43:03 2014	1402994583	0	10	10	9
Tue Jun 17 10:43:05 2014	1402994585	0	10	10	9
Tue Jun 17 10:43:05 2014	1402994585	0	10	10	9
Tue Jun 17 10:43:05 2014	1402994585	0	10	10	10
Tue Jun 17 10:43:17 2014	1402994597	0	10	10	10
Tue Jun 17 10:43:03 2014	1402994583	0	10	10	9
Tue Jun 17 10:43:07 2014	1402994587	0	11	11	10
Tue Jun 17 10:43:05 2014	1402994585	0	11	11	10
Tue Jun 17 10:43:20 2014	1402994600	0	11	11	11
Tue Jun 17 10:43:03 2014	1402994583	0	11	11	9
Tue Jun 17 10:43:05 2014	1402994585	0	11	11	11
Tue Jun 17 10:43:07 2014	1402994587	0	12	12	11
Tue Jun 17 10:43:18 2014	1402994598	0	12	12	11
Tue Jun 17 10:43:05 2014	1402994585	0	12	12	11
Tue Jun 17 10:43:05 2014	1402994585	0	12	12	11
Tue Jun 17 10:43:05 2014	1402994585	0	12	12	10
Tue Jun 17 10:43:04 2014	1402994584	0	12	12	12
Tue Jun 17 10:43:03 2014	1402994583	0	13	13	12
Tue Jun 17 10:43:05 2014	1402994585	0	13	13	13
Tue Jun 17 10:43:05 2014	1402994585	0	13	13	12
Tue Jun 17 10:43:07 2014	1402994587	0	13	13	13
Tue Jun 17 10:43:02 2014	1402994582	0	14	14	13
Tue Jun 17 10:43:05 2014	1402994585	0	14	14	13
Tue Jun 17 10:43:05 2014	1402994585	0	14	14	13
Tue Jun 17 10:43:06 2014	1402994586	0	14	14	14
Tue Jun 17 10:43:18 2014	1402994598	0	14	14	14
Tue Jun 17 10:43:17 2014	1402994597	0	14	14	14
Tue Jun 17 10:43:17 2014	1402994597	0	15	15	14
Tue Jun 17 10:43:20 2014	1402994600	0	15	15	14
Tue Jun 17 10:43:20 2014	1402994600	0	15	15	14
Tue Jun 17 10:43:21 2014	1402994601	0	15	15	13
Tue Jun 17 10:43:04 2014	1402994584	0	15	15	15
Tue Jun 17 10:43:04 2014	1402994584	0	16	16	15
Tue Jun 17 10:43:14 2014	1402994594	0	16	16	15
Tue Jun 17 10:43:05 2014	1402994585	0	16	16	11
Tue Jun 17 10:43:06 2014	1402994586	0	16	16	15
Tue Jun 17 10:43:07 2014	1402994587	0	16	16	15
Tue Jun 17 10:43:20 2014	1402994600	0	16	16	15
Tue Jun 17 10:43:06 2014	1402994586	0	16	16	13
Tue Jun 17 10:43:07 2014	1402994587	0	16	16	15
Tue Jun 17 10:43:14 2014	1402994594	0	16	16	16
Tue Jun 17 10:43:17 2014	1402994597	0	16	16	16
Tue Jun 17 10:43:17 2014	1402994597	0	16	17	16
Tue Jun 17 10:43:05 2014	1402994585	0	17	17	16
Tue Jun 17 10:43:07 2014	1402994587	0	17	17	16
Tue Jun 17 10:43:06 2014	1402994586	0	17	17	16
Tue Jun 17 10:43:05 2014	1402994585	0	17	17	17
Tue Jun 17 10:43:17 2014	1402994597	0	17	18	17
Tue Jun 17 10:43:19 2014	1402994599	0	18	18	17
Tue Jun 17 10:43:07 2014	1402994587	0	18	18	17
Tue Jun 17 10:43:17 2014	1402994597	0	18	18	16
Tue Jun 17 10:43:08 2014	1402994588	0	18	18	17
Tue Jun 17 10:43:06 2014	1402994586	0	18	18	18
Tue Jun 17 10:43:07 2014	1402994587	0	18	18	18
Tue Jun 17 10:43:20 2014	1402994600	0	19	19	17
Tue Jun 17 10:43:17 2014	1402994597	0	19	20	19
Tue Jun 17 10:43:20 2014	1402994600	0	20	20	19
Tue Jun 17 10:43:17 2014	1402994597	0	20	20	18
Tue Jun 17 10:43:15 2014	1402994595	0	20	20	19
Tue Jun 17 10:43:05 2014	1402994585	0	20	20	19
Tue Jun 17 10:43:04 2014	1402994584	0	20	20	19
Tue Jun 17 10:43:18 2014	1402994598	0	20	20	19
Tue Jun 17 10:43:15 2014	1402994595	0	20	20	20
Tue Jun 17 10:43:20 2014	1402994600	0	20	20	19
Tue Jun 17 10:43:06 2014	1402994586	0	21	21	20
Tue Jun 17 10:43:04 2014	1402994584	0	21	21	20
Tue Jun 17 10:43:07 2014	1402994587	0	21	21	15
Tue Jun 17 10:43:17 2014	1402994597	0	21	21	20
Tue Jun 17 10:43:04 2014	1402994584	0	21	21	20
Tue Jun 17 10:43:21 2014	1402994601	0	21	21	20
Tue Jun 17 10:43:05 2014	1402994585	0	21	21	15
Tue Jun 17 10:43:21 2014	1402994601	0	21	21	20
Tue Jun 17 10:43:05 2014	1402994585	0	21	21	20
Tue Jun 17 10:43:06 2014	1402994586	0	21	21	21
Tue Jun 17 10:43:05 2014	1402994585	0	21	21	19
Tue Jun 17 10:43:20 2014	1402994600	0	21	21	21
Tue Jun 17 10:43:21 2014	1402994601	0	21	22	21
Tue Jun 17 10:43:04 2014	1402994584	0	22	22	22
Tue Jun 17 10:43:15 2014	1402994595	0	22	22	22
Tue Jun 17 10:43:04 2014	1402994584	0	23	23	22
Tue Jun 17 10:43:15 2014	1402994595	0	23	23	20
Tue Jun 17 10:43:06 2014	1402994586	0	23	23	22
Tue Jun 17 10:43:21 2014	1402994601	0	23	23	18
Tue Jun 17 10:43:05 2014	1402994585	0	23	23	18
Tue Jun 17 10:43:17 2014	1402994597	0	23	23	20
Tue Jun 17 10:43:20 2014	1402994600	0	23	23	23
Tue Jun 17 10:43:13 2014	1402994593	0	23	23	23
Tue Jun 17 10:43:08 2014	1402994588	0	24	24	23
Tue Jun 17 10:43:04 2014	1402994584	0	24	24	24
Tue Jun 17 10:43:07 2014	1402994587	0	24	24	23
Tue Jun 17 10:43:21 2014	1402994601	0	24	24	24
Tue Jun 17 10:43:07 2014	1402994587	0	24	24	19
Tue Jun 17 10:43:13 2014	1402994593	0	25	25	24
Tue Jun 17 10:43:17 2014	1402994597	0	25	25	24
Tue Jun 17 10:43:21 2014	1402994601	0	25	25	24
Tue Jun 17 10:43:04 2014	1402994584	0	25	25	24
Tue Jun 17 10:43:15 2014	1402994595	0	25	25	24
Tue Jun 17 10:43:09 2014	1402994589	0	26	26	25
Tue Jun 17 10:43:12 2014	1402994592	0	26	26	25
Tue Jun 17 10:43:03 2014	1402994583	0	26	26	22
Tue Jun 17 10:43:06 2014	1402994586	0	26	26	17
Tue Jun 17 10:43:20 2014	1402994600	0	26	26	24
Tue Jun 17 10:43:14 2014	1402994594	0	26	26	26
Tue Jun 17 10:43:04 2014	1402994584	0	27	27	26
Tue Jun 17 10:43:04 2014	1402994584	0	27	27	22
