starttime	seconds	ctime	dtime	ttime	wait
Mon Jun 16 19:21:29 2014	1402939289	3	88	91	88
Mon Jun 16 19:21:29 2014	1402939289	3	93	96	91
Mon Jun 16 19:21:29 2014	1402939289	3	110	113	110
Mon Jun 16 19:21:29 2014	1402939289	3	115	118	115
Mon Jun 16 19:21:29 2014	1402939289	3	139	142	136
Mon Jun 16 19:21:29 2014	1402939289	3	143	146	143
Mon Jun 16 19:21:29 2014	1402939289	3	154	157	154
Mon Jun 16 19:21:29 2014	1402939289	3	172	175	172
Mon Jun 16 19:21:29 2014	1402939289	3	174	177	174
Mon Jun 16 19:21:29 2014	1402939289	3	177	180	177
Mon Jun 16 19:21:29 2014	1402939289	3	180	183	180
Mon Jun 16 19:21:29 2014	1402939289	3	181	184	181
Mon Jun 16 19:21:29 2014	1402939289	3	182	185	182
Mon Jun 16 19:21:29 2014	1402939289	3	199	202	199
Mon Jun 16 19:21:29 2014	1402939289	3	209	212	209
Mon Jun 16 19:21:29 2014	1402939289	3	250	253	249
Mon Jun 16 19:21:29 2014	1402939289	3	256	259	255
Mon Jun 16 19:23:15 2014	1402939395	0	274	274	272
Mon Jun 16 19:21:29 2014	1402939289	3	273	276	273
Mon Jun 16 19:21:29 2014	1402939289	3	280	283	280
Mon Jun 16 19:21:29 2014	1402939289	3	282	285	281
Mon Jun 16 19:21:29 2014	1402939289	3	300	303	300
Mon Jun 16 19:21:29 2014	1402939289	3	304	307	304
Mon Jun 16 19:21:29 2014	1402939289	3	317	321	317
Mon Jun 16 19:21:29 2014	1402939289	3	321	324	321
Mon Jun 16 19:22:10 2014	1402939330	0	329	329	199
Mon Jun 16 19:22:27 2014	1402939347	0	331	331	331
Mon Jun 16 19:21:29 2014	1402939289	3	335	338	335
Mon Jun 16 19:21:29 2014	1402939289	3	335	338	330
Mon Jun 16 19:22:36 2014	1402939356	0	339	339	339
Mon Jun 16 19:21:29 2014	1402939289	3	340	343	328
Mon Jun 16 19:21:29 2014	1402939289	3	376	379	376
Mon Jun 16 19:21:29 2014	1402939289	3	380	383	379
Mon Jun 16 19:21:29 2014	1402939289	3	396	400	396
Mon Jun 16 19:22:36 2014	1402939356	0	410	410	410
Mon Jun 16 19:22:27 2014	1402939347	0	411	411	387
Mon Jun 16 19:22:54 2014	1402939374	0	415	415	415
Mon Jun 16 19:21:29 2014	1402939289	3	413	416	412
Mon Jun 16 19:21:29 2014	1402939289	3	416	419	416
Mon Jun 16 19:21:29 2014	1402939289	3	420	424	420
Mon Jun 16 19:23:19 2014	1402939399	0	430	430	430
Mon Jun 16 19:21:29 2014	1402939289	3	432	435	432
Mon Jun 16 19:22:35 2014	1402939355	0	447	447	447
Mon Jun 16 19:21:29 2014	1402939289	3	448	451	447
Mon Jun 16 19:21:29 2014	1402939289	3	448	451	448
Mon Jun 16 19:23:18 2014	1402939398	0	455	455	455
Mon Jun 16 19:23:19 2014	1402939399	0	459	459	459
Mon Jun 16 19:22:40 2014	1402939360	0	462	462	462
Mon Jun 16 19:22:45 2014	1402939365	0	464	464	464
Mon Jun 16 19:22:44 2014	1402939364	0	464	464	464
Mon Jun 16 19:23:17 2014	1402939397	0	470	470	464
Mon Jun 16 19:21:29 2014	1402939289	3	473	477	464
Mon Jun 16 19:22:44 2014	1402939364	0	486	486	486
Mon Jun 16 19:21:29 2014	1402939289	3	483	486	481
Mon Jun 16 19:21:29 2014	1402939289	3	485	488	485
Mon Jun 16 19:22:35 2014	1402939355	0	496	496	496
Mon Jun 16 19:22:14 2014	1402939334	0	502	502	502
Mon Jun 16 19:21:29 2014	1402939289	3	510	513	510
Mon Jun 16 19:21:29 2014	1402939289	3	525	528	525
Mon Jun 16 19:22:24 2014	1402939344	0	529	529	518
Mon Jun 16 19:23:18 2014	1402939398	0	535	535	535
Mon Jun 16 19:21:29 2014	1402939289	3	534	537	534
Mon Jun 16 19:23:04 2014	1402939384	0	541	541	455
Mon Jun 16 19:21:29 2014	1402939289	3	538	541	538
Mon Jun 16 19:22:23 2014	1402939343	0	544	544	541
Mon Jun 16 19:22:36 2014	1402939356	0	549	549	549
Mon Jun 16 19:22:24 2014	1402939344	0	558	558	555
Mon Jun 16 19:21:29 2014	1402939289	3	555	558	555
Mon Jun 16 19:22:24 2014	1402939344	0	563	563	551
Mon Jun 16 19:21:29 2014	1402939289	3	560	564	560
Mon Jun 16 19:23:19 2014	1402939399	0	571	571	571
Mon Jun 16 19:21:29 2014	1402939289	3	568	571	568
Mon Jun 16 19:23:18 2014	1402939398	0	574	574	573
Mon Jun 16 19:22:33 2014	1402939353	0	576	576	526
Mon Jun 16 19:21:29 2014	1402939289	3	573	577	573
Mon Jun 16 19:22:41 2014	1402939361	0	582	582	582
Mon Jun 16 19:21:29 2014	1402939289	3	582	585	581
Mon Jun 16 19:21:29 2014	1402939289	3	587	591	587
Mon Jun 16 19:21:42 2014	1402939302	0	596	596	596
Mon Jun 16 19:22:09 2014	1402939329	0	596	596	596
Mon Jun 16 19:21:48 2014	1402939308	0	598	598	597
Mon Jun 16 19:22:23 2014	1402939343	0	600	600	600
Mon Jun 16 19:22:45 2014	1402939365	0	601	601	601
Mon Jun 16 19:22:32 2014	1402939352	0	603	603	602
Mon Jun 16 19:21:45 2014	1402939305	0	604	604	604
Mon Jun 16 19:22:35 2014	1402939355	0	605	605	564
Mon Jun 16 19:21:29 2014	1402939289	3	607	610	607
Mon Jun 16 19:22:09 2014	1402939329	0	612	612	585
Mon Jun 16 19:22:46 2014	1402939366	0	617	617	572
Mon Jun 16 19:22:47 2014	1402939367	0	618	619	618
Mon Jun 16 19:22:33 2014	1402939353	0	620	620	620
Mon Jun 16 19:22:25 2014	1402939345	0	620	620	620
Mon Jun 16 19:22:44 2014	1402939364	0	620	620	620
Mon Jun 16 19:22:30 2014	1402939350	0	622	622	622
Mon Jun 16 19:21:29 2014	1402939289	3	621	624	619
Mon Jun 16 19:22:27 2014	1402939347	0	628	628	603
Mon Jun 16 19:21:43 2014	1402939303	0	631	631	631
Mon Jun 16 19:23:18 2014	1402939398	0	631	631	631
Mon Jun 16 19:21:29 2014	1402939289	3	629	633	629
Mon Jun 16 19:22:23 2014	1402939343	0	634	635	634
Mon Jun 16 19:21:42 2014	1402939302	0	637	637	637
Mon Jun 16 19:22:40 2014	1402939360	0	638	638	633
Mon Jun 16 19:21:47 2014	1402939307	0	638	638	638
Mon Jun 16 19:23:15 2014	1402939395	0	640	640	640
Mon Jun 16 19:23:04 2014	1402939384	0	640	640	640
Mon Jun 16 19:23:04 2014	1402939384	0	641	641	641
Mon Jun 16 19:22:48 2014	1402939368	0	644	644	644
Mon Jun 16 19:22:14 2014	1402939334	0	645	645	645
Mon Jun 16 19:21:29 2014	1402939289	3	650	653	650
Mon Jun 16 19:21:46 2014	1402939306	0	653	653	653
Mon Jun 16 19:23:15 2014	1402939395	0	654	654	654
Mon Jun 16 19:22:56 2014	1402939376	0	655	655	655
Mon Jun 16 19:23:04 2014	1402939384	0	656	656	600
Mon Jun 16 19:22:23 2014	1402939343	0	658	658	658
Mon Jun 16 19:22:10 2014	1402939330	0	658	658	658
Mon Jun 16 19:23:18 2014	1402939398	0	659	659	659
Mon Jun 16 19:22:24 2014	1402939344	0	664	664	654
Mon Jun 16 19:22:56 2014	1402939376	0	664	664	664
Mon Jun 16 19:21:48 2014	1402939308	0	664	664	664
Mon Jun 16 19:22:36 2014	1402939356	0	664	664	664
Mon Jun 16 19:23:15 2014	1402939395	0	664	664	664
Mon Jun 16 19:22:12 2014	1402939332	0	664	665	664
Mon Jun 16 19:21:43 2014	1402939303	0	665	665	665
Mon Jun 16 19:22:31 2014	1402939351	0	666	666	666
Mon Jun 16 19:21:29 2014	1402939289	3	666	669	666
Mon Jun 16 19:21:29 2014	1402939289	3	667	670	667
Mon Jun 16 19:22:24 2014	1402939344	0	671	671	568
Mon Jun 16 19:22:54 2014	1402939374	0	672	672	672
Mon Jun 16 19:23:18 2014	1402939398	0	673	673	672
Mon Jun 16 19:22:47 2014	1402939367	0	674	674	673
Mon Jun 16 19:23:18 2014	1402939398	0	684	684	683
Mon Jun 16 19:23:18 2014	1402939398	0	685	686	685
Mon Jun 16 19:23:03 2014	1402939383	0	687	687	619
Mon Jun 16 19:21:44 2014	1402939304	0	687	687	687
Mon Jun 16 19:21:29 2014	1402939289	3	688	691	688
Mon Jun 16 19:21:44 2014	1402939304	0	693	693	693
Mon Jun 16 19:21:29 2014	1402939289	3	690	693	690
Mon Jun 16 19:22:27 2014	1402939347	0	699	699	699
Mon Jun 16 19:21:57 2014	1402939317	0	699	699	699
Mon Jun 16 19:22:32 2014	1402939352	0	701	701	701
Mon Jun 16 19:21:43 2014	1402939303	0	703	703	703
Mon Jun 16 19:21:29 2014	1402939289	3	701	704	701
Mon Jun 16 19:22:30 2014	1402939350	0	704	704	704
Mon Jun 16 19:22:47 2014	1402939367	0	704	705	674
Mon Jun 16 19:22:31 2014	1402939351	0	706	706	706
Mon Jun 16 19:21:42 2014	1402939302	0	706	706	706
Mon Jun 16 19:21:43 2014	1402939303	0	706	706	706
Mon Jun 16 19:22:42 2014	1402939362	0	706	706	706
Mon Jun 16 19:23:18 2014	1402939398	0	707	707	707
Mon Jun 16 19:22:28 2014	1402939348	0	708	708	707
Mon Jun 16 19:22:13 2014	1402939333	0	709	709	709
Mon Jun 16 19:22:54 2014	1402939374	0	709	709	597
Mon Jun 16 19:21:58 2014	1402939318	0	710	710	709
Mon Jun 16 19:21:29 2014	1402939289	3	707	710	707
Mon Jun 16 19:23:18 2014	1402939398	0	710	710	709
Mon Jun 16 19:21:29 2014	1402939289	3	708	712	708
Mon Jun 16 19:22:55 2014	1402939375	0	711	712	711
Mon Jun 16 19:22:15 2014	1402939335	0	712	712	712
Mon Jun 16 19:22:10 2014	1402939330	0	712	712	712
Mon Jun 16 19:22:42 2014	1402939362	0	713	713	713
Mon Jun 16 19:22:43 2014	1402939363	0	715	715	715
Mon Jun 16 19:22:44 2014	1402939364	0	715	715	715
Mon Jun 16 19:22:48 2014	1402939368	0	717	717	717
Mon Jun 16 19:22:39 2014	1402939359	0	717	717	717
Mon Jun 16 19:22:07 2014	1402939327	0	718	718	718
Mon Jun 16 19:22:48 2014	1402939368	0	719	719	719
Mon Jun 16 19:23:18 2014	1402939398	0	719	719	715
Mon Jun 16 19:23:04 2014	1402939384	0	721	721	720
Mon Jun 16 19:22:56 2014	1402939376	0	721	721	677
Mon Jun 16 19:22:59 2014	1402939379	0	722	722	722
Mon Jun 16 19:22:38 2014	1402939358	0	722	722	722
Mon Jun 16 19:23:18 2014	1402939398	0	723	723	710
Mon Jun 16 19:22:41 2014	1402939361	0	724	724	724
Mon Jun 16 19:21:44 2014	1402939304	0	725	725	724
Mon Jun 16 19:21:29 2014	1402939289	3	723	726	723
Mon Jun 16 19:22:45 2014	1402939365	0	727	727	727
Mon Jun 16 19:21:49 2014	1402939309	0	728	728	728
Mon Jun 16 19:22:36 2014	1402939356	0	729	729	729
Mon Jun 16 19:22:41 2014	1402939361	0	730	730	730
Mon Jun 16 19:21:49 2014	1402939309	0	730	730	730
Mon Jun 16 19:21:29 2014	1402939289	3	727	731	727
Mon Jun 16 19:22:40 2014	1402939360	0	731	731	730
Mon Jun 16 19:21:58 2014	1402939318	0	731	731	731
Mon Jun 16 19:22:10 2014	1402939330	0	732	732	732
Mon Jun 16 19:23:18 2014	1402939398	0	732	732	732
Mon Jun 16 19:22:43 2014	1402939363	0	733	733	733
Mon Jun 16 19:23:17 2014	1402939397	0	734	734	734
Mon Jun 16 19:23:18 2014	1402939398	0	736	736	736
Mon Jun 16 19:21:29 2014	1402939289	3	734	737	733
Mon Jun 16 19:22:09 2014	1402939329	0	737	737	737
Mon Jun 16 19:22:41 2014	1402939361	0	738	738	737
Mon Jun 16 19:22:15 2014	1402939335	0	739	739	739
Mon Jun 16 19:21:42 2014	1402939302	0	739	739	739
Mon Jun 16 19:22:42 2014	1402939362	0	739	739	739
Mon Jun 16 19:22:53 2014	1402939373	0	740	740	740
Mon Jun 16 19:23:18 2014	1402939398	0	740	740	740
Mon Jun 16 19:23:06 2014	1402939386	0	740	740	740
Mon Jun 16 19:21:43 2014	1402939303	0	740	740	740
Mon Jun 16 19:22:24 2014	1402939344	0	741	741	741
Mon Jun 16 19:22:42 2014	1402939362	0	741	741	741
Mon Jun 16 19:21:43 2014	1402939303	0	743	744	743
Mon Jun 16 19:22:40 2014	1402939360	0	744	744	744
Mon Jun 16 19:22:59 2014	1402939379	0	744	744	733
Mon Jun 16 19:22:30 2014	1402939350	0	746	746	746
Mon Jun 16 19:22:24 2014	1402939344	0	746	746	746
Mon Jun 16 19:21:41 2014	1402939301	0	747	747	746
Mon Jun 16 19:21:48 2014	1402939308	0	747	747	747
Mon Jun 16 19:22:40 2014	1402939360	0	748	748	732
Mon Jun 16 19:22:31 2014	1402939351	0	749	749	749
Mon Jun 16 19:22:10 2014	1402939330	0	750	750	750
Mon Jun 16 19:22:28 2014	1402939348	0	751	751	751
Mon Jun 16 19:22:09 2014	1402939329	0	752	752	751
Mon Jun 16 19:22:41 2014	1402939361	0	752	752	752
Mon Jun 16 19:21:43 2014	1402939303	0	752	752	752
Mon Jun 16 19:22:42 2014	1402939362	0	753	753	753
Mon Jun 16 19:21:46 2014	1402939306	0	754	754	753
Mon Jun 16 19:22:44 2014	1402939364	0	754	754	754
Mon Jun 16 19:21:44 2014	1402939304	0	754	754	754
Mon Jun 16 19:22:27 2014	1402939347	0	755	755	754
Mon Jun 16 19:21:46 2014	1402939306	0	755	755	755
Mon Jun 16 19:22:13 2014	1402939333	0	755	755	755
Mon Jun 16 19:21:45 2014	1402939305	0	757	757	757
Mon Jun 16 19:22:09 2014	1402939329	0	758	758	758
Mon Jun 16 19:22:33 2014	1402939353	0	759	759	759
Mon Jun 16 19:21:45 2014	1402939305	0	759	759	759
Mon Jun 16 19:22:38 2014	1402939358	0	759	759	759
Mon Jun 16 19:21:49 2014	1402939309	0	759	759	737
Mon Jun 16 19:22:59 2014	1402939379	0	760	760	760
Mon Jun 16 19:22:37 2014	1402939357	0	762	762	762
Mon Jun 16 19:21:58 2014	1402939318	0	763	763	763
Mon Jun 16 19:22:54 2014	1402939374	0	763	763	763
Mon Jun 16 19:21:47 2014	1402939307	0	763	763	763
Mon Jun 16 19:21:58 2014	1402939318	0	763	763	751
Mon Jun 16 19:22:39 2014	1402939359	0	764	764	764
Mon Jun 16 19:21:47 2014	1402939307	0	764	764	764
Mon Jun 16 19:23:18 2014	1402939398	0	764	764	762
Mon Jun 16 19:22:38 2014	1402939358	0	764	764	764
Mon Jun 16 19:23:16 2014	1402939396	0	765	765	764
Mon Jun 16 19:23:14 2014	1402939394	0	765	765	754
Mon Jun 16 19:22:40 2014	1402939360	0	765	765	765
Mon Jun 16 19:22:11 2014	1402939331	0	766	766	766
Mon Jun 16 19:21:47 2014	1402939307	0	766	766	766
Mon Jun 16 19:22:34 2014	1402939354	0	766	766	704
Mon Jun 16 19:22:26 2014	1402939346	0	767	767	767
Mon Jun 16 19:22:54 2014	1402939374	0	768	768	768
Mon Jun 16 19:21:29 2014	1402939289	3	765	768	765
Mon Jun 16 19:21:44 2014	1402939304	0	769	769	769
Mon Jun 16 19:22:13 2014	1402939333	0	770	770	770
Mon Jun 16 19:21:46 2014	1402939306	0	771	771	770
Mon Jun 16 19:22:14 2014	1402939334	0	771	771	771
Mon Jun 16 19:22:14 2014	1402939334	0	772	772	771
